ST,Locid,City,Airport Name,S/L,CY 24 Enplanements
KS,ICT,Wichita,Wichita Dwight D Eisenhower Ntl,P,885585
OR,EUG,Eugene,Mahlon Sweet Field,P,824952
VI,STT,Charlotte Amalie,Cyril E King,P,821945
AL,HSV,Huntsville,Huntsville International-Carl T Jones Field,P,804665
KY,LEX,Lexington,Blue Grass,P,776297
TX,MAF,Midland,Midland International Air And Space Port,P,761865
IA,CID,Cedar Rapids,The Eastern Iowa,P,759978
FL,EYW,Key West,Key West International,P,740762
NC,ILM,Wilmington,Wilmington International,P,737065
PA,MDT,Harrisburg,Harrisburg International,P,727163
MO,SGF,Springfield,Springfield-Branson Ntl,P,702338
SD,FSD,Sioux Falls,Joe Foss Field,P,701353
CA,SBA,Santa Barbara,Santa Barbara Municipal,P,696396
NY,ISP,Islip,Long Island MacArthur,P,682804
HI,ITO,Hilo,Hilo International,P,680640
VT,BTV,Burlington,Patrick Leahy Burlington International,P,670636
SC,CAE,Columbia,Columbia Metro,P,654460
NH,MHT,Manchester,Manchester Boston Regional,P,633257
TX,MFE,McAllen,McAllen International,P,625670
OH,DAY,Dayton,James M Cox Dayton International,P,624995
MS,JAN,Jackson,Jackson-Medgar Wiley Evers International,P,616695
TX,HRL,Harlingen,Valley International,P,603561
OR,RDM,Redmond,Roberts Field,P,601152
CT,HVN,New Haven,Tweed/New Haven,P,589409
AK,FAI,Fairbanks,Fairbanks International,P,574012
TX,LBB,Lubbock,Lubbock Preston Smith International,P,563180
TN,CHA,Chattanooga,Lovell Field,P,557741
ND,FAR,Fargo,Hector International,P,552860
WI,ATW,Appleton,Appleton International,P,540349
WY,JAC,Jackson,Jackson Hole,P,518754
MT,MSO,Missoula,Missoula Montana,P,511553
MT,GPI,Kalispell,Glacier Park International,P,503816
OR,MFR,Medford,Rogue Valley International/Medford,P,503733
NJ,ACY,Atlantic City,Atlantic City International,P,489848
WA,PSC,Pasco,Tri-Cities,P,476639
MT,BIL,Billings,Billings Logan International,P,475334
FL,TLH,Tallahassee,Tallahassee International,P,469318
UT,PVU,Provo,Provo Municipal,P,455219
IN,SBN,South Bend,South Bend International,P,454920
PA,ABE,Allentown,Lehigh Valley International,P,447899
AK,JNU,Juneau,Juneau International,P,436457
MS,GPT,Gulfport,Gulfport-Biloxi International,P,424624
IN,FWA,Fort Wayne,Fort Wayne International,P,424491
LA,BTR,Baton Rouge,"Baton Rouge Metro, Ryan Field",P,419446
SD,RAP,Rapid City,Rapid City Regional,P,418183
TX,AMA,Amarillo,Rick Husband Amarillo International,P,402315
MI,TVC,Traverse City,Cherry Capital,P,393108
CA,STS,Santa Rosa,Charles M Schulz/Sonoma County,P,382556
VA,ROA,Roanoke,Roanoke/Blacksburg Regional (Woodrum Field),P,382103
OH,CAK,Akron,Akron-Canton Regional,P,380232
ME,BGR,Bangor,Bangor International,P,376456
TX,CRP,Corpus Christi,Corpus Christi International,P,369393
CA,SBP,San Luis Obispo,San Luis Obispo County Regional,P,366428
PR,BQN,Aguadilla,Rafael Hernandez,P,360645
LA,SHV,Shreveport,Shreveport Regional,P,352281
VA,CHO,Charlottesville-Albemarle Airport,Charlottesville-Albemarle,P,351138
CO,ASE,Aspen,Aspen-Pitkin County/Sardy Field,P,349781
FL,MLB,Melbourne,Melbourne Orlando International,P,348283
IL,PIA,Peoria,General Downing - Peoria International,P,343114
WI,GRB,Green Bay,Green Bay/Austin Straubel International,P,338127
FL,DAB,Daytona Beach,Daytona Beach International,P,337763
IL,MLI,Moline,Quad Cities International,P,326888
AL,MOB,Mobile,Mobile Regional,P,314406
CA,MRY,Monterey,Monterey Regional,P,305434
ID,IDA,Idaho Falls,Idaho Falls Regional,P,301674
GA,AGS,Augusta,Augusta Regional at Bush Field,P,299141
ND,BIS,Bismarck,Bismarck Municipal,P,295900
FL,GNV,Gainesville,Gainesville Regional,P,290563
MI,FNT,Flint,Bishop International,P,285088
CO,EGE,Eagle,Eagle County Regional,P,282849
WA,PAE,Everett,Seattle Paine Field International,P,275996
CO,GJT,Grand Junction,Grand Junction Regional,P,270935
WA,BLI,Bellingham,Bellingham International,P,266703
VI,STX,Christiansted,Henry E Rohlsen,P,265243
CO,MTJ,Montrose,Montrose Regional,P,264973
LA,LFT,Lafayette,Lafayette Regional/Paul Fournet Field,P,264471
CO,DRO,Durango,Durango-La Plata County,P,250640
NJ,TTN,Trenton,Trenton Mercer,P,241950
MP,GSN,Saipan,Francisco C Ada/Saipan International,P,234042
TN,TRI,Bristol/Johnson/Kingsport,Tri-Cities,P,229860
CO,HDN,Hayden,Yampa Valley,P,226830
PA,AVP,Avoca,Wilkes-Barre/Scranton International,P,219572
LA,AEX,Alexandria,Alexandria International,P,204603
WV,CRW,Charleston,West Virginia International Yeager,P,202303
CA,BFL,Bakersfield,Meadows Field,P,195148
AL,MGM,Montgomery,Montgomery Regional (Dannelly Field),P,193746
IN,EVV,Evansville,Evansville Regional,P,189706
TX,BRO,Brownsville,Brownsville/South Padre Island International,P,188157
MT,GTF,Great Falls,Great Falls International,P,186778
NM,SAF,Santa Fe,Santa Fe Regional,P,180248
TX,LRD,Laredo,Laredo International,P,172726
ND,MOT,Minot,Minot International,P,169463
NC,FAY,Fayetteville,Fayetteville Regional/Grannis Field,P,168117
AK,BET,Bethel,Bethel,P,165846
IL,BMI,Bloomington-Normal Airport,Central Il Regional/Bloomington-Normal,P,161971
UT,SGU,St. George,St George Regional,P,161201
MA,ACK,Nantucket,Nantucket Memorial,P,154173
IL,BLV,Belleville,Scott AFB/Midamerica St Louis,P,152632
AK,KTN,Ketchikan,Ketchikan International,P,152082
NC,OAJ,Richlands,Albert J Ellis,P,145901
NY,SWF,Newburgh,New York Stewart International,P,143310
OH,LCK,Columbus,Rickenbacker International,P,143035
PR,PSE,Ponce,Mercedita,P,137553
MN,DLH,Duluth,Duluth International,P,135966
PA,UNV,State College,State College Regional,P,134128
CA,ACV,Arcata,California Redwood Coast-Humboldt County,P,133682
IL,RFD,Rockford,Chicago/Rockford International,P,132154
NC,JQF,Concord,Concord-Padgett Regional,P,132000
NE,LNK,Lincoln,Lincoln,P,129968
DE,ILG,Wilmington,New Castle,P,125071
MI,LAN,Clinton (Township of),Capital Region International,P,123608
ID,SUN,Hailey,Friedman Memorial,P,121123
TX,GRK,Killeen,Robert Gray AAF,P,117523
MA,ORH,Worcester,Worcester Regional,P,112872
MI,MBS,Saginaw,MBS International,P,110822
SC,HXD,Hilton Head Island,Hilton Head,P,108775
LA,MLU,Monroe,Monroe Regional,P,105274
MO,COU,Columbia,Columbia Regional,P,103081
MT,HLN,Helena,Helena Regional,P,101591
NH,PSM,Portsmouth,Portsmouth International at Pease,P,100298
ND,XWA,Williston,Williston Basin International,P,99735
